,city,century,Income ($)
4303,East Jerusalem,20,25800
4304,Djibouti,20,12400
4305,Taipei,20,12400
4306,Tallinn,20,22200
4307,Abuja,20,17200
4308,Yerevan,20,20900
4309,Asmara,20,9300
4310,Dhaka,20,9000
4311,Windhoek,20,12400
4312,Managua,20,9000
4313,George Town,20,5400
4314,Dublin,19,11600
4315,Kigali,20,6500
4316,Kingston,19,17200
4317,Rabat,20,24100
4318,Skopje,20,17200
4319,Bangui,19,11600
4320,Doha,20,12400
4321,Gustavia,19,20900
4322,Longyearbyen,19,43100
4323,Grytviken,19,20900
4324,Muscat,19,24100
4325,Zagreb,20,6500
4326, Europe,18,34400
4327,Port-aux-Francais,20,17200
4328,Abu Dhabi,19,43100
4329,The Valley,20,11600
4330,Oranjestad,20,34700
4331,Juba,20,9300
4332,Tarawa,20,42800
4333,Montevideo,20,9300
4334,Chisinau,20,25800
4335,Belgrade,19,9000
4336,Asmara,20,42800
4337,Vientiane,19,43100
4338,Sao Tome,20,9300
4339,Kuwait City,19,17200
4340,Stanley,19,24100
4341,Port-au-Prince,20,20900
4342,Grytviken,19,5400
4343,Sanaa,19,24100
4344,Lisbon,19,9300
4345,Marigot,20,17200
4346,Quito,20,42800
4347,Freetown,20,9300
4348,Basse-Terre,20,22200
4349,Yerevan,20,17200
4350,Bishkek,20,20900
4351,Riyadh,20,11600
4352,Dodoma,20,6500
4353,Sarajevo,19,9000
4354,Dodoma,20,43100
4355,Kuala Lumpur,20,20900
4356,Singapur,20,9300
4357,Praia,20,6500
4358,Addis Ababa,20,5400
4359,Melekeok,19,6500
4360,George Town,19,9300
4361,Kampala,20,9000
4362,Gibraltar,20,11600
4363,Alofi,19,12400
4364,Gaborone,19,17200
4365,Lilongwe,20,9300
4366,Skopje,19,9000
4367,Ljubljana,20,24100
4368,Yaounde,20,6500
4369,Stanley,20,9300
4370,Jerusalem,20,9300
4371,Yaren,19,22200
4372,Banjul,20,17200
4373,Malabo,20,12400
4374,Beirut,19,11600
4375,Tunis,20,34400
4376,Oslo,20,9300
4377,Luanda,19,9300
4378,Berlin,20,3100
4379,San Marino,19,11600
4380,Dakar,20,11600
4381,San Jose,19,34700
4382,San Salvador,20,20900
4383,Basseterre,20,5400
4384,Bogota,19,17200
4385,Riyadh,20,9300
4386,Abuja,19,9300
4387,Nicosia,20,3100
4388,Budapest,20,12400
4389,Port Moresby,19,3100
4390,Kingston,20,11600
4391,Port of Spain,19,17200
4392,Belmopan,20,43100
4393,Washington,19,22200
4394,Ottawa,20,6500
4395,Yamoussoukro,20,25800
4396,Jamestown,20,17200
4397,Manama,20,9300
4398,West Island,20,17200
4399,Bandar Seri Begawan,19,9000
4400,Moroni,19,34400
4401,Macao,20,11600
4402,Adamstown,20,3100
4403,Ottawa,20,9300
4404,Stanley,20,34700
4405,Port Moresby,19,6500
4406,Mexico City,20,3100
4407,Lusaka,20,17200
4408,Belgrade,20,5400
4409,Abuja,19,17200
4410,Porto-Novo,20,17200
4411,Manama,19,34400
4412,Asmara,19,9300
4413,N'Djamena,19,9000
4414, Europe,18,12400
4415,Saint-Denis,20,9300
4416,Brazzaville,19,9300
4417,Bangui,19,43100
4418,Malabo,19,24100
4419,Valletta,20,9000
4420,Canberra,20,12400
4421,Nouakchott,20,12400
4422,Basse-Terre,20,9000
4423,Grytviken,19,9000
4424,Nassau,20,17200
4425,Cockburn Town,20,9000
4426,Ankara,19,9300
4427,Stanley,20,11600
4428,Jerusalem,20,9300
4429,Washington,20,9000
4430,Sucre,19,11600
4431,Brussels,20,5400
4432,Islamabad,19,17200
4433,Pyongyang,20,9300
4434,Freetown,19,5400
4435,Monrovia,20,9300
4436,Baku,19,9300
4437,Palikir,20,9000
4438,Plymouth,20,24100
4439,Dhaka,20,11600
4440,Port of Spain,20,17200
4441,Bucharest,19,9300
4442,East Jerusalem,19,6500
4443,New Delhi,19,42800
4444,Philipsburg,19,12400
4445,Belmopan,19,24100
4446,Maputo,20,9300
4447,Banjul,20,9300
4448,Stockholm,20,12400
4449,Malabo,19,12400
4450,Nuku'alofa,20,5400
4451,Noumea,19,9300
4452,El-Aaiun,20,22200
4453,Jakarta,19,12400
4454,Valletta,20,22200
4455,Panama City,19,24100
4456,N'Djamena,19,9000
4457,Saipan,19,9000
4458,Abuja,20,5400
4459,Willemstad,20,12400
4460,Dushanbe,19,5400
4461,Noumea,19,20900
4462,Nay Pyi Taw,20,20900
4463,Avarua,19,3100
4464,Lima,20,11600
4465,Dublin,20,22200
4466,Kinshasa,19,9000
4467,Bern,20,17200
4468,Valletta,21,9300
4469,Nicosia,20,9300
4470,Longyearbyen,20,9000
4471,Tripolis,20,3100
4472,Tashkent,20,24100
4473,Tarawa,19,22200
4474,Sarajevo,19,11600
4475,West Island,20,12400
4476,Brazzaville,19,9300
4477,Riyadh,20,49000
4478,Georgetown,20,12400
4479,Port-aux-Francais,20,20900
4480,Lome,20,12400
4481,San Juan,19,6500
4482,Pago Pago,20,9000
4483,Skopje,20,9000
4484,Maputo,20,20900
4485,Vienna,20,20900
4486,Roseau,20,11600
4487,Cockburn Town,20,9300
4488, Micronesia,18,9000
4489,Helsinki,19,9000
4490,Bogota,20,22200
4491,Bamako,20,12400
4492,Marigot,20,5400
4493,Dushanbe,20,17200
4494,Tunis,20,9000
4495,Mogadishu,20,9300
4496,Astana,20,20900
4497,Charlotte Amalie,19,5400
4498,West Island,19,12400
4499,Port-aux-Francais,19,22200
4500,Bamako,19,6500
4501,Sucre,20,22200
4502,Bratislava,20,9000
4503,Windhoek,20,12400
4504,Washington,20,17200
4505,Gaborone,20,12400
4506,Pago Pago,20,9300
4507,Nassau,19,9300
4508,Port Moresby,19,5400
4509,Sucre,20,38600
4510,Basseterre,20,6500
4511,N'Djamena,20,20900
4512,Bratislava,20,6500
4513,Budapest,20,25800
4514,Sofia,20,17200
4515,Victoria,20,5400
4516,Moscow,20,3100
4517,Flying Fish Cove,20,11600
4518,Lima,20,22200
4519,Bishkek,20,9300
4520,Nuuk,20,12400
4521,Phnom Penh,20,6500
4522,Bangui,20,5400
4523,Dushanbe,19,9000
4524,Porto-Novo,20,12400
4525,Beirut,19,12400
4526,London,19,9300
4527,Honiara,19,9300
4528,Manila,19,20900
4529,Kuala Lumpur,20,9300
4530,Jamestown,20,24100
4531,Mariehamn,19,9000
4532,Nuuk,20,9000
4533,Funafuti,20,9300
4534,Tegucigalpa,20,9300
4535,Marigot,19,9300
4536,Basseterre,19,9000
4537,Longyearbyen,20,9300
4538,Reykjavik,20,5400
4539,Doha,20,9300
4540,Brazzaville,19,9300
4541,Gustavia,20,11600
4542,Saipan,20,9300
4543,Budapest,20,20900
4544,Dhaka,20,12400
4545,Paris,20,20900
4546,Cockburn Town,19,20900
4547,Manila,19,20900
4548,Gibraltar,20,20900
4549,Bridgetown,20,25800
4550,Plymouth,20,9000
4551,Muscat,20,5400
4552,Oslo,20,9300
4553,Apia,20,6500
4554,Basseterre,20,11600
4555,Vientiane,20,9000
4556,Chisinau,20,9300
4557,Lusaka,19,17200
4558,Colombo,19,11600
4559,Beijing,19,17200
4560,Libreville,20,24100
4561,Monaco,20,24100
4562,Port Moresby,20,20900
4563,Plymouth,19,42800
4564,Dushanbe,20,9300
4565,Philipsburg,19,11600
4566,Havana,20,9000
4567,Adamstown,20,9300
4568,Lome,20,24100
4569,Ljubljana,20,3100
4570,Wellington,19,43100
4571,Santiago,20,43100
4572,Tarawa,18,9300
4573,Antananarivo,20,5400
4574,Djibouti,20,11600
4575,Seoul,20,6500
4576,Seoul,20,5400
4577,Asuncion,20,34700
4578,Tokyo,20,11600
4579,Baku,20,17200
4580,Canberra,20,6500
4581,Brazzaville,20,22200
4582,Tripolis,20,20900
4583,Buenos Aires,19,9000
4584,Rome,20,11600
4585,Ulan Bator,20,17200
4586,Tegucigalpa,19,22200
4587,Basse-Terre,20,24100
4588,Praia,19,9000
4589,Ottawa,20,12400
4590,Bissau,20,17200
4591,Honiara,19,11600
4592,Bujumbura,20,34400
4593,Gustavia,20,3100
4594,Kinshasa,20,9000
4595,Vientiane,20,9300
4596,Cayenne,20,5400
4597,Ulan Bator,20,11600
4598,Amman,20,5400
4599,Helsinki,20,17200
4600,Philipsburg,20,20900
4601,Victoria,19,9000
4602,Muscat,19,6500
4603,Marigot,20,9300
4604,Conakry,20,22200
4605,Bridgetown,20,11600
4606,Port of Spain,20,6500
4607,Ljubljana,20,5400
4608,Majuro,20,22200
4609,Stanley,20,9000
4610,Tunis,19,9300
4611,Malabo,19,12400
4612,Majuro,20,20900
4613,Montevideo,20,24100
4614,Sao Tome,19,3100
4615,Tehran,20,9000
4616,Plymouth,20,39500
4617,Skopje,20,12400
4618,Guatemala City,20,11600
4619,New Delhi,20,9000
4620,Yerevan,20,9300
4621,Maputo,20,3100
4622,Yamoussoukro,20,9000
4623,Nouakchott,20,9300
4624,Helsinki,20,9300
4625,Guatemala City,20,11600
4626,Monrovia,20,9000
4627,Noumea,20,22200
4628,Freetown,20,9300
4629,Bridgetown,20,42800
4630,Flying Fish Cove,20,20900
4631,Lisbon,20,11600
4632,Andorra la Vella,20,9300
4633,Port-au-Prince,20,9300
4634,Lusaka,20,11600
4635,Brazzaville,19,11600
4636,Saint-Denis,20,3100
4637,Stockholm,20,24100
4638,Colombo,20,5400
4639,Bujumbura,20,11600
4640,Nay Pyi Taw,20,9300
4641,Conakry,20,17200
4642,Georgetown,20,9300
4643,Yamoussoukro,20,3100
4644,Warsaw,20,25800
4645,Kampala,20,9300
4646,Melekeok,20,12400
4647,Bangui,19,6500
4648,Dili,20,24100
4649,Bandar Seri Begawan,20,42800
4650,Praia,20,17200
4651,Jamestown,20,6500
4652,Melekeok,19,9300
4653,Sofia,19,9300
4654,San Jose,20,9300
4655,Bamako,20,9000
4656,Hagatna,20,12400
4657,Astana,19,20900
4658,Pristina,19,24100
4659,Victoria,20,9000
4660,Damascus,20,5400
4661,Male,20,12400
4662,Georgetown,19,9300
4663,Podgorica,19,5400
4664,Sao Tome,20,9300
4665,Minsk,20,12400
4666,Berlin,20,12400
4667,Hanoi,19,5400
4668,Moroni,20,6500
4669,Abuja,20,6500
4670,Moroni,19,17200
4671,Libreville,19,11600
4672,Saint-Denis,20,3100
4673,Pristina,19,11600
4674,Hagatna,20,5400
4675,Castries,21,20900
4676,Victoria,19,22200
4677,Asmara,20,11600
4678,Asuncion,19,9300
4679,Pago Pago,20,6500
4680,Asmara,19,12400
4681,Seoul,19,20900
4682,Porto-Novo,20,9300
4683,Asmara,20,22200
4684,Seoul,20,11600
4685,Kabul,20,6500
4686,Pristina,19,12400
4687,Tripolis,19,6500
4688,Hagatna,19,5400
4689,Nassau,20,20900
4690,Kingstown,19,11600
4691,Basseterre,20,34400
4692,Grytviken,20,9300
4693,Willemstad,19,9300
4694,Pago Pago,19,6500
4695,Gustavia,19,25800
4696,Sanaa,20,12400
4697,Helsinki,20,38600
4698,Brasilia,19,12400
4699,Diego Garcia,20,17200
4700,El-Aaiun,20,17200
4701,Warsaw,20,9000
4702,Athens,20,11600
4703,Prague,20,45500
4704,London,20,9300
4705,Buenos Aires,19,11600
4706,West Island,19,12400
4707,Hamilton,20,9300
4708,Bujumbura,20,9300
4709,Kingstown,20,12400
4710,Basse-Terre,19,17200
4711,Bishkek,20,9300
4712,Rome,20,6500
4713,San Marino,19,25800
4714, Africa,21,6500
4715,Basse-Terre,20,6500
4716,Saint-Pierre,20,43100
4717,Dodoma,20,17200
4718,Ulan Bator,20,11600
4719,Paris,19,6500
4720,Brussels,19,11600
4721,Mexico City,19,17200
4722,Adamstown,19,20900
4723,Marigot,19,9300
4724,Beijing,20,9300
4725,Pago Pago,20,9000
4726,Beijing,19,17200
4727,Kralendijk,20,5400
4728, Asia,21,11600
4729,Dakar,20,20900
4730,Hanoi,20,9000
4731,Zagreb,20,3100
4732,Bujumbura,20,12400
4733,Ljubljana,19,9300
4734,Brasilia,20,20900
4735,Budapest,20,24100
4736,Rabat,20,9300
4737,Havana,20,12400
4738,Malabo,20,11600
4739,Plymouth,20,9000
4740,Canberra,20,22200
4741,Kralendijk,20,39500
4742,Riyadh,20,6500
4743,Paris,19,9300
4744,Guatemala City,19,11600
4745,Tegucigalpa,20,9300
4746,Pristina,20,17200
4747,Asuncion,20,22200
4748,Muscat,20,20900
4749,Beijing,20,38600
4750,Rome,20,5400
4751,Ankara,20,12400
4752,Funafuti,20,24100
4753,Damascus,20,9300
4754,Niamey,20,20900
4755,Pyongyang,20,11600
4756,Khartoum,20,20900
4757,Port Louis,20,9300
4758,Kathmandu,19,12400
4759,Kinshasa,20,9000
4760,Vaduz,20,12400
4761,Prague,20,3100
4762,San Jose,19,9300
4763,Port of Spain,19,11600
4764,Nouakchott,19,20900
4765,Brazzaville,20,9000
4766,Doha,19,11600
4767,Cairo,19,9000
4768,Nicosia,20,9000
4769,Mata Utu,19,9000
4770,Bogota,20,9300
4771,Bujumbura,19,24100
4772,London,19,20900
4773,Tallinn,20,11600
4774,Road Town,20,17200
4775,Kuala Lumpur,20,6500
4776,Basseterre,19,24100
4777,Banjul,20,9000
4778,Marigot,20,9300
4779,Tashkent,19,9000
4780,Yamoussoukro,20,12400
4781,Sanaa,20,43100
4782,Kingstown,20,12400
4783,Kingston,20,9300
4784,Bishkek,20,24100
4785,Sofia,20,9300
4786,Caracas,19,12400
4787,Paris,20,9000
4788,Moscow,20,34700
4789,Minsk,20,20900
4790,Palikir,20,9300
4791,Dushanbe,20,5400
4792,Kralendijk,20,20900
4793,Gaborone,19,9000
4794,Pristina,19,3100
4795,Basse-Terre,19,9300
4796,Tirana,20,11600
4797,Khartoum,20,22200
4798,Vilnius,20,17200
4799,Antananarivo,20,9300
4800,Freetown,19,6500
4801,Singapur,19,9300
4802,Canberra,20,17200
4803,Stanley,20,22200
4804,Vatican City,19,25800
4805,Port Moresby,19,5400
4806,London,19,9300
4807,Algiers,20,17200
4808,Riga,19,20900
4809,Roseau,20,6500
4810,Port-aux-Francais,19,17200
4811,Bratislava,19,34400
4812,Lusaka,20,17200
4813,Jakarta,20,5400
4814,Taipei,19,9000
4815,Bangui,20,9000
4816,San Jose,20,3100
4817,Santiago,20,43100
4818,Banjul,20,9000
4819,Bogota,19,24100
4820,Bern,20,12400
4821,St. John's,19,9000
4822,Prague,20,20900
4823,San Salvador,20,11600
4824,Torshavn,20,12400
4825,Vienna,19,9300
4826,Asuncion,20,6500
4827,Tbilisi,20,6500
4828,Oslo,19,9300
4829, Eastern Africa,18,17200
4830,Suva,19,9300
4831,Macao,20,6500
4832,Tirana,20,9300
4833,Ankara,20,17200
4834,Guatemala City,20,9300
4835,Kathmandu,19,9000
4836,Bangkok,20,20900
4837,Tirana,20,22200
4838,Diego Garcia,20,3100
4839,El-Aaiun,19,20900
4840,Montevideo,20,34700
4841,Athens,19,9300
4842,Yerevan,20,6500
4843,Port-aux-Francais,20,22200
4844,Tegucigalpa,21,6500
4845,Plymouth,20,3100
4846,Bern,20,17200
4847,Mata Utu,20,9300
4848,Chisinau,20,5400
4849,Andorra la Vella,20,20900
4850,Managua,19,11600
4851,Bangui,20,12400
4852,San Salvador,20,17200
4853,Paris,20,25800
4854,Charlotte Amalie,19,9000
4855,Riyadh,19,5400
4856,Saint-Denis,19,12400
4857,Dakar,20,9300
4858,Bogota,20,5400
4859,West Island,20,9300
4860,Tokyo,20,6500
4861,Bujumbura,20,6500
4862,Honiara,20,39500
4863,Manama,20,12400
4864,East Jerusalem,20,3100
4865,Brazzaville,19,11600
4866,Kingston,20,11600
4867,Cairo,20,12400
4868,Monrovia,19,9000
4869,Nuku'alofa,20,6500
4870,Port-au-Prince,20,12400
4871,Harare,20,9300
4872,Taipei,20,11600
4873,Buenos Aires,20,11600
4874,Havana,20,6500
4875,Gibraltar,20,24100
4876,Flying Fish Cove,20,12400
4877,Canberra,19,20900
4878,Guatemala City,20,12400
4879,Kabul,20,42800
4880,Tunis,20,9000
4881,Cayenne,20,11600
4882,Honiara,19,5400
4883,Bangui,20,12400
4884,Dushanbe,19,24100
4885,Conakry,19,6500
4886,Hong Kong,19,6500
4887,Melekeok,20,34400
4888,Bujumbura,20,9000
4889,Riga,20,9300
4890,Vienna,20,20900
4891,Warsaw,20,6500
4892,Yaounde,20,22200
4893,Willemstad,20,3100
4894,Accra,20,9000
4895,Stockholm,20,11600
4896,Stockholm,20,9000
4897,Bogota,20,9000
4898,San Jose,20,20900
4899,Bern,19,9000
4900,Panama City,20,24100
4901,Bogota,19,11600
4902,Santiago,20,20900
4903,Jerusalem,19,6500
4904,Stanley,20,12400
4905,Abuja,20,9300
4906,Skopje,20,12400
4907,Athens,20,11600
4908,Accra,20,25800
4909,San Juan,19,34400
4910,Vilnius,20,43100
4911,Athens,20,9300
4912,Mexico City,20,3100
4913,Canberra,20,11600
4914,Port-aux-Francais,20,17200
4915,N'Djamena,20,5400
4916,Bridgetown,20,20900
4917,Warsaw,20,22200
4918,Copenhagen,20,5400
4919,Pago Pago,20,20900
4920,Managua,20,9300
4921,El-Aaiun,20,43100
4922,Muscat,19,12400
4923,Reykjavik,20,9300
4924,Nuku'alofa,20,9000
4925,Santo Domingo,20,17200
4926,Algiers,20,9000
4927,Windhoek,20,9300
4928,Port Louis,20,9300
4929,Moscow,20,6500
4930,Road Town,20,6500
4931,Flying Fish Cove,20,6500
4932,Tehran,20,22200
4933,Ashgabat,19,12400
4934,Mata Utu,20,20900
4935,Gustavia,20,24100
4936,Algiers,19,25800
4937,Islamabad,20,9000
4938,Hong Kong,20,11600
4939,Riga,20,9300
4940,Baku,20,25800
4941,Road Town,20,38600
4942,Hamilton,20,9000
4943,The Valley,19,17200
4944,Port of Spain,19,9000
4945,San Juan,20,24100
4946,Astana,20,25800
4947,Port-au-Prince,20,9300
4948,Kampala,20,9300
4949,Wellington,20,17200
4950,Bogota,20,9000
4951,Suva,20,9000
4952,Nay Pyi Taw,20,9300
4953,Ashgabat,20,9000
4954,Palikir,19,9000
4955,Budapest,20,6500
4956,Pago Pago,20,9000
4957,San Jose,20,22200
4958,Maseru,19,22200
4959,Longyearbyen,20,22200
4960,Budapest,20,9300
4961,Charlotte Amalie,20,6500
4962,Paramaribo,20,43100
4963,London,19,9300
4964,Beirut,20,12400
4965,Kralendijk,20,5400
4966,Tallinn,19,24100
4967,Yamoussoukro,19,42800
4968,Palikir,20,17200
4969,Port Vila,20,9300
4970,Yamoussoukro,19,9000
4971,Yerevan,19,20900
4972,Caracas,21,9000
4973,Kinshasa,20,25800
4974,Astana,20,20900
4975,Ankara,20,9000
4976,Ashgabat,20,20900
4977,Harare,20,9300
4978,Saint Helier,19,17200
4979,Muscat,20,11600
4980,Alofi,20,5400
4981,Andorra la Vella,19,17200
4982,Jamestown,20,6500
4983,Stockholm,19,9300
4984,Rabat,19,6500
4985,Fort-de-France,20,17200
4986,Colombo,20,3100
4987,Podgorica,20,17200
4988,Singapur,19,5400
4989,Managua,20,24100
4990,Guatemala City,20,9000
4991,Mariehamn,20,11600
4992,Tirana,20,6500
4993,Baghdad,19,9300
4994,Pristina,19,3100
4995,Maputo,20,6500
4996,St Peter Port,20,9000
4997,Port-au-Prince,20,9000
4998,Saint Helier,21,6500
4999,Havana,20,11600
5000,Banjul,20,12400
5001,Maseru,19,17200
5002,Moscow,20,24100
5003,Brasilia,19,11600
5004,Washington,20,20900
5005,Beirut,20,22200
5006,Tokyo,20,25800
5007,Kiev,19,3100
5008,Oranjestad,20,9000
5009,Berlin,19,25800
5010,Tbilisi,19,24100
5011,Vatican City,20,9300
5012,Tripolis,20,9300
5013,Colombo,20,17200
5014,Prague,20,9300
5015,Dakar,20,5400
5016,Guatemala City,20,12400
5017,Paris,20,5400
5018,Porto-Novo,20,12400
5019,Islamabad,20,12400
5020,Torshavn,20,20900
5021,Yerevan,20,9300
5022,"Douglas, Isle of Man",20,11600
5023,Banjul,20,9000
5024,Tokyo,19,9300
5025,Malabo,20,11600
5026,Thimphu,20,9000
5027,N'Djamena,20,5400
5028,Diego Garcia,20,45500
5029,Cockburn Town,20,9300
5030,Torshavn,19,5400
5031,Montevideo,20,11600
5032,Moscow,19,9300
5033,Kampala,19,6500
5034,Skopje,20,20900
5035,San Juan,20,6500
5036,Yerevan,20,6500
5037,Pretoria,20,22200
5038,Nuuk,19,20900
5039,Roseau,20,9300
5040,Abuja,19,9300
5041,Yaounde,20,5400
5042,Kigali,20,3100
5043,Prague,20,11600
5044, Asia,21,9300
5045,Libreville,20,20900
5046,Vaduz,20,9300
5047,Palikir,19,20900
5048,Paramaribo,20,9300
5049,Cayenne,19,9000
5050,Sao Tome,19,9300
5051,Macao,20,9300
5052,Lome,20,34400
5053,Quito,20,17200
5054,Freetown,20,17200
5055,Dushanbe,20,9000
5056,Tripolis,20,5400
5057,Avarua,19,17200
5058,Budapest,19,3100
5059,Zagreb,19,6500
5060,Noumea,20,5400
5061,Kingstown,20,39500
5062,St. John's,20,9300
5063,Islamabad,20,12400
5064,Rabat,19,9300
5065,Lusaka,20,12400
5066,Vaduz,20,17200
5067,Paramaribo,20,20900
5068,Basseterre,20,25800
5069,Kampala,20,20900
5070,Abuja,19,5400
5071,Chisinau,19,9300
5072,Avarua,20,12400
5073,Riga,19,45500
5074,Libreville,20,43100
5075,Helsinki,19,12400
5076,Alofi,20,9300
5077,Bridgetown,20,42800
5078,Saint Helier,19,25800
5079,Brasilia,20,6500
5080,Antananarivo,20,12400
5081,Tarawa,19,12400
5082,Tokyo,20,9000
5083,Port Moresby,20,25800
5084,Algiers,20,24100
5085,Djibouti,19,11600
5086,"Douglas, Isle of Man",20,9000
5087,Sanaa,20,24100
5088,St Peter Port,19,11600
5089,Managua,20,9000
5090,Paramaribo,20,9300
5091,Lilongwe,20,9300
5092,Amman,20,11600
5093,West Island,19,11600
5094,Dakar,20,24100
5095,Longyearbyen,20,25800
5096,Noumea,20,22200
5097,Jamestown,19,24100
5098, Europe,18,22200
5099,Tehran,19,17200
5100,Marigot,20,11600
5101,Roseau,20,6500
5102,Cockburn Town,20,9000
5103, Caribbean,21,12400
5104,Quito,20,17200
5105,Kingston,19,6500
5106, Africa,21,9000
5107,Singapur,20,9300
5108,Cayenne,19,6500
5109,Bridgetown,19,24100
5110,San Salvador,20,34400
5111,Stockholm,19,24100
5112,Cayenne,19,12400
5113,Torshavn,20,11600
5114,Buenos Aires,20,11600
5115,Willemstad,19,6500
5116,Hamilton,19,11600
5117,Warsaw,19,5400
5118,Belgrade,20,11600
5119,Yamoussoukro,20,20900
5120,Baku,20,12400
5121,Basse-Terre,20,9000
5122,Belmopan,20,6500
5123,Dili,20,24100
5124,Kathmandu,20,11600
5125,Baku,19,22200
5126,Maseru,20,20900
5127,Avarua,19,9300
5128,Tashkent,20,3100
5129,Monrovia,20,3100
5130,Tehran,19,9000
5131,Valletta,20,24100
5132,Apia,20,9300
5133,Canberra,20,11600
5134,Macao,20,20900
5135,Riyadh,19,22200
5136,Kathmandu,19,17200
5137,Diego Garcia,20,20900
5138,Kathmandu,20,22200
5139,Panama City,20,12400
5140,Noumea,20,5400
5141,Oranjestad,19,9300
5142,Ankara,19,17200
5143,Kathmandu,20,9300
5144,Tarawa,20,9300
5145,Bandar Seri Begawan,19,17200
5146,Diego Garcia,19,20900
5147,Kathmandu,20,11600
5148,Singapur,20,3100
5149,Port Louis,20,9300
5150,Roseau,19,3100
5151,Gibraltar,19,12400
5152,Oslo,20,34400
5153,Nassau,20,12400
5154,Maputo,20,11600
5155,Addis Ababa,19,9300
5156,Pristina,20,22200
5157,Havana,19,11600
5158,Abu Dhabi,19,3100
5159,Hong Kong,20,11600
5160,Plymouth,20,43100
5161,Monaco,19,11600
5162,Bangkok,20,17200
5163,Sarajevo,20,12400
5164,Pyongyang,20,12400
5165,Tehran,20,3100
5166,Porto-Novo,20,17200
5167,Conakry,20,9300
5168,Managua,20,24100
5169,Kingston,19,24100
5170,Gaborone,20,22200
5171,Kabul,20,9300
5172,Lusaka,20,11600
5173,Dushanbe,19,20900
5174,Reykjavik,19,11600
5175,Bissau,19,17200
5176,Port-aux-Francais,20,22200
5177,Prague,19,11600
5178,Malabo,20,25800
5179,Nuuk,19,24100
5180,"Douglas, Isle of Man",20,12400
5181,Kuwait City,20,12400
5182,Oslo,19,20900
5183,St. John's,20,9000
5184,Avarua,19,11600
5185,Charlotte Amalie,20,22200
5186,Bandar Seri Begawan,20,17200
5187,Bandar Seri Begawan,20,22200
5188,Basse-Terre,20,9300
5189,Maseru,20,11600
5190,Harare,20,11600
5191,Pretoria,20,9300
5192,Roseau,20,9300
5193, Caribbean,18,9300
5194,Ottawa,20,34700
5195,Santo Domingo,20,11600
5196,Brasilia,19,12400
5197,Kampala,20,9000
5198,Ljubljana,20,6500
5199,Sucre,20,9300
5200,San Juan,20,9000
5201,Saint-Pierre,20,34400
5202,Banjul,20,3100
5203,Astana,20,24100
5204,Moscow,19,9300
5205,Taipei,20,9300
5206,Paris,20,12400
5207,Stockholm,20,34700
5208,Nuuk,20,12400
5209,Paramaribo,20,11600
5210,Vienna,20,9300
5211,Diego Garcia,19,38600
5212,Oranjestad,19,17200
5213,Amman,19,12400
5214,Lilongwe,20,24100
5215,Mogadishu,20,3100
5216,London,19,11600
5217,N'Djamena,20,3100
5218,Cairo,20,5400
5219,Nassau,20,25800
5220,Saint-Denis,19,38600
5221,Melekeok,19,9000
5222,Saint-Denis,20,12400
5223,Madrid,20,9000
5224,Melekeok,19,34400
5225,Bern,20,6500
5226,Antananarivo,19,17200
5227,Dakar,20,9000
5228,Vaduz,20,5400
5229,Port of Spain,20,3100
5230,Astana,20,12400
5231,Gibraltar,20,9300
5232,Pyongyang,19,12400
5233,Sofia,20,34400
5234,Valletta,19,11600
5235,Minsk,20,5400
5236,Dublin,20,5400
5237,Lome,19,9300
5238,Kingston,20,9300
5239,Cockburn Town,19,20900
5240,London,20,9000
5241,Monrovia,20,6500
5242,Hanoi,20,9300
5243,Bangkok,19,3100
5244,West Island,20,17200
5245,Praia,20,9000
5246,Road Town,20,12400
5247,Port Moresby,20,22200
5248,Kinshasa,19,25800
5249,Fort-de-France,19,5400
5250,Montevideo,19,11600
5251,Papeete,20,9300
5252,Yerevan,20,34400
5253,Chisinau,19,12400
5254,Caracas,20,17200
5255,Kuala Lumpur,20,20900
5256,Managua,20,9300
5257,Dodoma,20,34400
5258,Asmara,20,20900
5259,Warsaw,19,9000
5260,Caracas,19,9000
5261, Caribbean,18,24100
5262,Road Town,20,11600
5263,Castries,20,17200
5264,Monaco,19,9000
5265,Marigot,20,17200
5266,Vilnius,20,9000
5267,Kralendijk,20,9000
5268,Warsaw,19,9300
5269,Majuro,20,24100
5270,Pyongyang,19,5400
5271,London,20,17200
5272,Wellington,19,17200
5273,Maseru,20,34400
5274,Oslo,20,9300
5275,Muscat,20,9000
5276,Baku,20,24100
5277,Dublin,20,6500
5278,Port-au-Prince,19,9300
5279,Saint-Denis,19,12400
5280,Sofia,20,22200
5281,Colombo,20,9300
5282,Ashgabat,20,25800
5283,Port Louis,19,11600
5284,Abuja,20,12400
5285,St. John's,19,17200
5286,Saipan,20,20900
5287,Hagatna,20,9000
5288,Cockburn Town,20,6500
5289,Saint-Denis,20,5400
5290,Athens,19,20900
5291,Saint-Denis,20,9300
5292,Cockburn Town,19,6500
5293,Sanaa,20,9300
5294,Port-aux-Francais,19,6500
5295,Jamestown,20,12400
5296,Majuro,20,3100
5297,Dodoma,19,20900
5298,Bishkek,19,22200
5299,Suva,20,17200
5300,Dublin,20,11600
5301,Rome,19,17200
5302,Bishkek,20,11600
5303,Ankara,20,11600
5304,Addis Ababa,20,17200
5305,Kingston,20,9300
5306,Copenhagen,20,9300
5307,Vatican City,20,9000
5308,Tbilisi,20,9300
