,city,year,Income ($)
3263,Vaduz,1930,9300
3264,Tehran,1920,24100
3265,Pristina,1935,11600
3266, Tanzania,20,11600
3267,Vaduz,1970,25800
3268,Jakarta,1900,9300
3269, Western Asia,18,9300
3270, Cuba,20,5400
3271,Monaco,1940,17200
3272,Athens,1910,39500
3273, Sierra Leone,19,11600
3274,Paris,1930,6500
3275, New Caledonia,19,34700
3276,Sucre,1920,17200
3277, Asia,19,12400
3278,Beirut,1910,17200
3279,Kiev,1940,3100
3280,"Douglas, Isle of Man",1900,6500
3281,Seoul,1930,20900
3282,Riga,1880,5400
3283, Asia,19,11600
3284,Monrovia,1900,9300
3285,Hamilton,1930,9000
3286,Majuro,1940,24100
3287,Buenos Aires,1940,9300
3288, Americas,19,22200
3289,Torshavn,1930,9300
3290,Majuro,1930,11600
3291,Marigot,1920,9000
3292,Beirut,1900,38600
3293,Berlin,1880,11600
3294,Panama City,1930,12400
3295,Gibraltar,1890,20900
3296,Brussels,1920,9300
3297,Adamstown,1920,9000
3298,Islamabad,1920,6500
3299,Asuncion,1910,12400
3300, Guinea-Bissau,19,20900
3301,Port of Spain,1880,22200
3302,Beijing,1900,9300
3303,Funafuti,1890,9000
3304,Havana,1940,3100
3305,Brasilia,1940,12400
3306,Bissau,1920,24100
3307, Egypt,20,22200
3308,Yamoussoukro,1860,9300
3309, Americas,19,9000
3310,Dodoma,1880,22200
3311,Tarawa,1920,25800
3312, Asia,19,34700
3313, Turks And Caicos Islands,20,9300
3314,George Town,1920,17200
3315,Funafuti,1940,12400
3316,Luxembourg,1940,9000
3317,Mamoudzou,1920,11600
3318,Algiers,1940,5400
3319,Riga,1930,12400
3320,George Town,1970,9000
3321, Asia,19,24100
3322,Tbilisi,1910,9000
3323,London,1920,9000
3324,Cayenne,1880,6500
3325, Western Africa,18,3100
3326, Botswana,19,25800
3327,Basse-Terre,1920,25800
3328,Kampala,1940,9300
3329, Morocco,20,11600
3330, Czech Republic,19,11600
3331,Malabo,1870,11600
3332,Chisinau,1930,11600
3333,Honiara,1930,42800
3334, Mozambique,19,11600
3335, Macedonia,19,20900
3336,Saint-Denis,1943,12400
3337, Netherlands The,19,3100
3338, Micronesia,18,17200
3339,Valletta,1950,9300
3340,Asmara,1910,12400
3341, Macedonia,19,20900
3342,Hong Kong,1930,9300
3343,Macao,1940,9300
3344,Cockburn Town,1830,12400
3345,Jerusalem,1900,9000
3346,Beijing,1950,20900
3347, Niger,20,12400
3348,Macao,1890,9300
3349,Baku,1930,9000
3350, Suriname,20,12400
3351,Bratislava,1930,5400
3352,Tehran,1930,9300
3353,Tarawa,1940,42800
3354,Panama City,1930,6500
3355,Male,1880,5400
3356, Faroe Islands,19,20900
3357, Angola,20,25800
3358,Avarua,1886,6500
3359,Sucre,1900,9300
3360,Libreville,1880,9000
3361, Oceania,20,43100
3362, Northern Mariana Islands,19,20900
3363,Torshavn,1880,11600
3364, Asia,19,3100
3365,Beirut,1930,12400
3366,Pristina,1880,25800
3367,Skopje,1920,9000
3368,Mamoudzou,1970,3100
3369,Gustavia,1900,25800
3370,Vienna,1940,17200
3371, Jersey,19,6500
3372,Paris,1930,22200
3373,Asuncion,1890,17200
3374,Thimphu,1910,9300
3375, Reunion,19,34700
3376,Lilongwe,1870,20900
3377,Pretoria,1900,3100
3378,Conakry,1930,9300
3379,Maseru,1920,6500
3380, Europe,20,12400
3381,Djibouti,1950,24100
3382, Middle Africa,18,17200
3383,Jakarta,1900,11600
3384,Seoul,1930,12400
3385,Phnom Penh,1930,22200
3386, Asia,19,6500
3387, Libya,19,9000
3388,Beijing,1900,6500
3389, Reunion,19,24100
3390,Longyearbyen,1900,17200
3391, Maldives,20,38600
3392,Lilongwe,1950,38600
3393,Port Vila,1910,12400
3394,Abu Dhabi,1900,9300
3395,Brasilia,1920,20900
3396,Santiago,1880,9300
3397,Manama,1900,12400
3398,Wellington,1900,9000
3399, Italy,19,5400
3400, Ecuador,20,9300
3401,Bamako,1910,9000
3402,Bandar Seri Begawan,1920,42800
3403,Nairobi,1900,11600
3404, Asia,19,12400
3405, Asia,19,9300
3406,Plymouth,1920,9300
3407,Muscat,1920,11600
3408,Zagreb,1920,24100
3409,Antananarivo,1910,9000
3410,Addis Ababa,1940,6500
3411,Hong Kong,1930,9000
3412,Kingston,1940,20900
3413, Americas,19,9000
3414, Eastern Europe,18,20900
3415,Yaounde,1920,5400
3416, Rwanda,19,20900
3417,Pristina,1940,9000
3418,Damascus,1900,9000
3419,Banjul,1920,9300
3420, Algeria,19,9300
3421,Prague,1930,9300
3422, Americas,19,5400
3423,Port-aux-Francais,1890,11600
3424,Georgetown,1920,6500
3425,Bangui,1900,17200
3426,Hamilton,1920,24100
3427,Libreville,1880,5400
3428,Saint-Pierre,1880,11600
3429,El-Aaiun,1920,6500
3430,Santo Domingo,1900,9300
3431,Saint-Denis,1930,9300
3432, Americas,19,12400
3433, Oceania,20,11600
3434, Djibouti,19,11600
3435, Niue,19,12400
3436,Bissau,1970,25800
3437,Manama,1930,6500
3438,Palikir,1930,17200
3439,Brussels,1930,9000
3440,Bissau,1930,12400
3441,Mbabane,1910,9300
3442, Saint-Barthelemy,20,17200
3443,Noumea,1900,9300
3444, Uganda,19,9300
3445,Gustavia,1930,34700
3446, Tunisia,19,9000
3447, Australia and New Zealand,21,9300
3448,Ouagadougou,1890,5400
3449, Latvia,19,17200
3450, Eastern Africa,21,9300
3451, Somalia,19,38600
3452,Bamako,1890,9300
3453, British Indian Ocean Territory,19,34400
3454,Kingston,1930,42800
3455,Kralendijk,1940,24100
3456, Jersey,19,3100
3457,Cayenne,1950,9000
3458,Gibraltar,1920,9300
3459,Kigali,1930,9000
3460,Helsinki,1910,12400
3461,Brasilia,1930,12400
3462, Falkland Islands,20,9000
3463, Northern Europe,18,9000
3464,Saint Helier,1930,6500
3465,Santiago,1890,3100
3466,Tokyo,1940,12400
3467,West Island,1900,24100
3468,Sao Tome,1940,24100
3469, Americas,19,9300
3470,Nuuk,1920,9000
3471,Flying Fish Cove,1940,12400
3472,Jamestown,1920,6500
3473, Americas,19,9000
3474,Lusaka,1940,5400
3475, Trinidad And Tobago,20,9300
3476,Bishkek,1950,45500
3477,Tallinn,1920,9000
3478,Harare,1930,12400
3479,Yamoussoukro,1910,6500
3480,Athens,1940,5400
3481,Tbilisi,1920,9300
3482,Vilnius,1930,34700
3483,Skopje,1930,6500
3484,Madrid,1940,9000
3485, Estonia,19,17200
3486,Ouagadougou,1940,38600
3487,Tashkent,1930,11600
3488, Eastern Africa,21,9300
3489,Islamabad,1930,3100
3490, Western Asia,18,38600
3491,Macao,1900,20900
3492, Libya,19,9300
3493,Majuro,1940,24100
3494, Tanzania,19,34400
3495,Washington,1900,12400
3496,Noumea,1940,17200
3497,Belgrade,1890,20900
3498,Tbilisi,1920,11600
3499,Dhaka,1950,3100
3500, Europe,20,38600
3501,San Jose,1950,17200
3502,Majuro,1930,9300
3503,Amman,1880,9000
3504,Yerevan,1880,11600
3505,Manama,1930,5400
3506,Flying Fish Cove,1890,9000
3507,Manila,1940,34400
3508, Asia,19,12400
3509,Djibouti,1930,38600
3510,Cairo,1921,5400
3511, Caribbean,21,9300
3512,Managua,1900,17200
3513, Asia,19,9000
3514,Pyongyang,1920,9000
3515, Americas,19,9300
3516,El-Aaiun,1900,12400
3517,Santo Domingo,1920,9300
3518,Suva,1900,6500
3519,Basseterre,1940,9300
3520,Saipan,1930,9000
3521,Moscow,1940,20900
3522,San Salvador,1920,9000
3523,Skopje,1930,9300
3524,Beijing,1940,9000
3525,Dushanbe,1910,22200
3526,Athens,1880,25800
3527,Antananarivo,1930,11600
3528, Western Africa,18,9300
3529,Havana,1890,9000
3530,Yaren,1930,12400
3531,Gibraltar,1890,9300
3532,Baku,1940,24100
3533, Europe,20,6500
3534,Amman,1940,34700
3535,Kigali,1920,9000
3536,Libreville,1880,9300
3537,Gustavia,1900,45500
3538,San Juan,1890,25800
3539,Manama,1910,9000
3540,Hanoi,1940,9300
3541,Praia,1880,17200
3542,Montevideo,1930,9300
3543, Asia,19,22200
3544,Athens,1930,9300
3545,Zagreb,1860,22200
3546, Asia,19,3100
3547,London,1940,9000
3548,New Delhi,1910,9000
3549,Kuwait City,1940,11600
3550,Papeete,1930,9000
3551,Macao,1930,17200
3552,Saint Helier,1930,42800
3553, Central African Republic,20,9300
3554,Valletta,1930,3100
3555,Luxembourg,1930,38600
3556,Taipei,1890,17200
3557,Prague,1890,39500
3558,Zagreb,1910,11600
3559,Athens,1860,3100
3560, Southern Asia,21,11600
3561, Asia,19,20900
3562, Sint Maarten (Dutch part),20,9300
3563,Rabat,1930,9300
3564,Guatemala City,1850,12400
3565,Phnom Penh,1910,3100
3566,Port-aux-Francais,1930,25800
3567,Brasilia,1920,20900
3568,Manila,1920,5400
3569,Port of Spain,1950,20900
3570, Western Asia,18,9000
3571,London,1900,11600
3572, Guinea,20,12400
3573, Central African Republic,20,12400
3574,Athens,1920,17200
3575,Moroni,1920,6500
3576,Saint-Pierre,1940,12400
3577, Americas,19,9000
3578,Belgrade,1950,9300
3579,Beirut,1940,12400
3580,Yaren,1870,9000
3581,Washington,1940,6500
3582,Roseau,1940,9300
3583, Kyrgyzstan,20,5400
3584, Mali,19,9300
3585,Noumea,1930,20900
3586, Morocco,19,9300
3587,Hong Kong,1940,17200
3588,Vaduz,1930,6500
3589, Falkland Islands,20,22200
3590,Beirut,1930,12400
3591,Singapur,1910,20900
3592,Phnom Penh,1920,43100
3593,Basseterre,1930,25800
3594, Europe,20,25800
3595,Rabat,1940,6500
3596,Torshavn,1930,24100
3597, Americas,19,5400
3598,Muscat,1940,38600
3599,Caracas,1940,22200
3600,Washington,1920,3100
3601,Belgrade,1920,9300
3602,Porto-Novo,1940,12400
3603,Rabat,1940,22200
3604, Serbia,19,3100
3605,Baku,1890,9000
3606,Jakarta,1920,3100
3607,Tokyo,1860,6500
3608,San Jose,1940,17200
3609,Dushanbe,1940,20900
3610,Addis Ababa,1950,3100
3611,St. George's,1940,9300
3612,Dili,1920,6500
3613, Americas,19,6500
3614,Dakar,1880,24100
3615,Phnom Penh,1920,11600
3616, Asia,19,34400
3617,Sucre,1910,9300
3618,Colombo,1920,20900
3619, Central Asia,21,9300
3620, Americas,19,12400
3621,Lima,1900,9000
3622, Asia,19,9300
3623,Tunis,1880,9300
3624,Bamako,1890,17200
3625,Dodoma,1960,17200
3626, Asia,19,25800
3627,Bogota,1950,25800
3628,Diego Garcia,1880,9300
3629,Lisbon,1940,9000
3630,Managua,1940,9300
3631,Santiago,1850,22200
3632, Benin,19,9300
3633, Central America,20,17200
3634,Algiers,1930,6500
3635,Nicosia,1960,9300
3636,Berlin,1920,9300
3637, Tonga,19,34400
3638,Yerevan,1940,25800
3639,Madrid,1920,17200
3640, Asia,19,9000
3641, Poland,19,6500
3642,Astana,1920,5400
3643,Jamestown,1950,12400
3644,Vienna,1960,24100
3645, Asia,19,22200
3646,George Town,1920,11600
3647,Dushanbe,1941,9000
3648,Brazzaville,1940,9000
3649,Paris,1910,12400
3650,Helsinki,1910,11600
3651,Castries,1950,17200
3652,Adamstown,1890,12400
3653,Maputo,1940,24100
3654,Male,1880,17200
3655, Curaçao,20,5400
3656,Riga,1880,9300
3657, Afghanistan,20,9300
3658,Brussels,1920,17200
3659,San Juan,1880,9300
3660,George Town,1900,9300
3661,"Douglas, Isle of Man",1880,17200
3662,Kingston,1920,9300
3663,Nicosia,1900,25800
3664,Bamako,1910,12400
3665, Asia,19,11600
3666,Tripolis,1930,17200
3667,Guatemala City,1930,22200
3668, Americas,19,9300
3669,Thimphu,1900,17200
3670,Basse-Terre,1920,11600
3671,Vaduz,1890,9300
3672,Bratislava,1970,12400
3673,Plymouth,1940,6500
3674, Americas,19,9300
3675,St. John's,1910,9000
3676,Madrid,1900,9300
3677,Bishkek,1920,25800
3678,Road Town,1930,9300
3679,Tokyo,1930,6500
3680, Central African Republic,19,24100
3681, Aruba,20,9000
3682, Kenya,20,17200
3683,Santo Domingo,1900,17200
3684,Port-aux-Francais,1910,17200
3685, Sierra Leone,19,12400
3686,Lisbon,1930,6500
3687,Santo Domingo,1900,9300
3688,Fort-de-France,1930,5400
3689,Wellington,1940,9300
3690,Santo Domingo,1900,22200
3691,Ljubljana,1930,11600
3692, Asia,19,17200
3693,Bratislava,1920,17200
3694,Tripolis,1930,38600
3695,Porto-Novo,1950,5400
3696, Tuvalu,19,20900
3697,Washington,1920,11600
3698,Bamako,1930,6500
3699,Funafuti,1920,5400
3700, Cameroon,19,17200
3701,East Jerusalem,1940,6500
3702,Monaco,1910,17200
3703,Rabat,1920,6500
3704,Caracas,1910,9300
3705,Luxembourg,1930,5400
3706,Minsk,1910,9300
3707,Honiara,1930,9300
3708,Willemstad,1930,22200
3709,Vilnius,1920,9000
3710,Kiev,1920,6500
3711, Asia,19,9000
3712,Juba,1890,12400
3713, Asia,19,11600
3714,Road Town,1940,34400
3715, Russia,19,12400
3716,Tunis,1950,11600
3717,Islamabad,1910,12400
3718,Stockholm,1930,9300
3719,Hamilton,1920,9300
3720,Hagatna,1950,11600
3721,Kingston,1930,9300
3722,Nuku'alofa,1893,12400
3723, Oceania,20,20900
3724,Monaco,1940,9300
3725,Bujumbura,1920,9300
3726,Kabul,1960,5400
3727, Caribbean,20,12400
3728, Chile,20,17200
3729, Americas,19,6500
3730,Hagatna,1900,17200
3731,Accra,1930,9300
3732, Singapore,20,20900
3733,Maseru,1910,9300
3734,Saint Helier,1950,12400
3735, American Samoa,19,9000
3736,Muscat,1900,9300
3737,Bangui,1900,9300
3738,Luxembourg,1860,12400
3739, Americas,19,22200
3740,Tunis,1920,20900
3741,Tokyo,1890,9300
3742, Eastern Europe,21,6500
3743,Podgorica,1940,9300
3744,St. George's,1940,12400
3745,Tirana,1870,11600
3746, Asia,19,9300
3747,Kralendijk,1930,6500
3748,Macao,1890,17200
3749,New Delhi,1900,24100
3750,Islamabad,1900,6500
3751,San Marino,1946,20900
3752,Bangkok,1880,11600
3753, Americas,19,9000
3754,Suva,1950,9300
3755, Caribbean,21,9300
3756,El-Aaiun,1930,9000
3757, Senegal,19,24100
3758,Athens,1920,22200
3759,Cockburn Town,1900,9000
3760,Port Vila,1900,9000
3761,Warsaw,1930,12400
3762,George Town,1930,9300
3763, Cameroon,19,3100
3764,Baku,1900,6500
3765, Saint Helena,19,12400
3766,Phnom Penh,1910,9300
3767,Vatican City,1810,11600
3768, Americas,19,9000
3769,Riga,1920,9000
3770, Gibraltar,19,25800
3771,Banjul,1880,9000
3772,Tripolis,1960,9300
3773,Colombo,1940,22200
3774,Bamako,1880,3100
3775, Asia,19,9300
3776, Americas,19,12400
3777, Puerto Rico,20,24100
3778,Amsterdam,1940,34400
3779,Nassau,1920,5400
3780,Pretoria,1920,12400
3781, Asia,19,6500
3782, Europe,20,3100
3783,Grytviken,1890,20900
3784, Tanzania,19,9000
3785,Ouagadougou,1930,6500
3786, Hungary,19,9000
3787,Nuuk,1950,34400
3788,Berlin,1890,20900
3789, Asia,19,20900
3790, Estonia,19,6500
3791,Pristina,1880,9000
3792,Ljubljana,1910,22200
3793,Yaren,1930,6500
3794,Nouakchott,1940,5400
3795,Lome,1880,11600
3796,Yerevan,1930,11600
3797,Asmara,1900,5400
3798,Manama,1920,17200
3799,San Salvador,1950,9000
3800, Mauritania,20,3100
3801,Majuro,1900,9000
3802,Podgorica,1870,22200
3803,Doha,1940,20900
3804,Monaco,1900,38600
3805,Apia,1910,9300
3806,Flying Fish Cove,1940,5400
3807, Georgia,20,22200
3808,Athens,1890,38600
3809,Juba,1970,9000
3810,Belgrade,1950,9300
3811,Kigali,1920,9300
3812, Gabon,19,9300
3813,Gustavia,1810,9300
3814,Jamestown,1910,24100
3815,Moroni,1920,12400
3816,Minsk,1900,9300
3817,Bandar Seri Begawan,1950,9000
3818,Gaborone,1920,12400
3819,Hanoi,1900,9300
3820,Jamestown,1920,20900
3821, South Africa,20,5400
3822,Grytviken,1930,9300
3823,Suva,1890,22200
3824,Budapest,1890,9300
3825, Guinea,19,25800
3826,Grytviken,1940,11600
3827,Brussels,1940,9000
3828,Brasilia,1920,5400
3829,Monrovia,1920,9000
3830,Maseru,1880,9000
3831,Amman,1880,9300
3832,Podgorica,1930,9300
3833,Algiers,1890,11600
3834, Americas,19,24100
3835, Guernsey and Alderney,19,9000
3836,Palikir,1910,22200
3837, Southern Europe,18,6500
3838, Bangladesh,20,24100
3839,Kinshasa,1910,20900
3840, Europe,20,22200
3841,Port Vila,1950,11600
3842, Saint Helena,20,5400
3843,Lilongwe,1870,11600
3844,Oranjestad,1940,17200
3845,Mariehamn,1930,17200
3846,Accra,1900,11600
3847, Asia,19,3100
3848, Asia,19,24100
3849,Ouagadougou,1870,5400
3850,Kabul,1930,24100
3851,Addis Ababa,1950,11600
3852,Belgrade,1920,24100
3853,Torshavn,1910,9000
3854,East Jerusalem,1930,38600
3855,Prague,1940,34400
3856,Buenos Aires,1920,12400
3857, Asia,19,9300
3858,Antananarivo,1930,9300
3859,Kathmandu,1930,9000
3860,Ulan Bator,1940,11600
3861,Podgorica,1930,11600
3862,Monaco,1900,3100
3863,Bangui,1890,9300
3864,Hanoi,1900,9300
3865,Jamestown,1910,42800
3866,Prague,1940,5400
3867,Andorra la Vella,1880,9000
3868,Saipan,1930,9000
3869,Bogota,1930,9000
3870,Ouagadougou,1930,9300
3871,Mata Utu,1924,5400
3872,Kabul,1900,38600
3873,Brazzaville,1920,24100
3874,Islamabad,1900,39500
3875,Torshavn,1910,12400
3876,Apia,1920,9300
3877, French Polynesia,19,11600
3878, Iraq,20,20900
3879,Mariehamn,1930,9300
3880,Antananarivo,1947,12400
3881,Road Town,1920,22200
3882,Victoria,1900,9300
3883, Asia,19,11600
3884, Asia,19,22200
3885, South Sudan,19,17200
3886,Monaco,1950,39500
3887,Beijing,1920,3100
3888,Washington,1940,20900
3889,Washington,1940,9000
3890,St. John's,1940,6500
3891,Melekeok,1920,11600
3892,Avarua,1920,12400
3893,Hamilton,1920,20900
3894,San Marino,1930,17200
3895, Gambia The,19,11600
3896,Longyearbyen,1940,12400
3897,Tarawa,1900,38600
3898,Honiara,1930,17200
3899,Seoul,1850,24100
3900,Funafuti,1940,17200
3901,Banjul,1900,17200
3902, Djibouti,20,20900
3903,Baghdad,1900,6500
3904,Port-aux-Francais,1880,9300
3905,Plymouth,1880,25800
3906,Reykjavik,1950,6500
3907,Stockholm,1920,5400
3908, Americas,19,12400
3909,West Island,1932,17200
3910,Hagatna,1930,25800
3911,Reykjavik,1890,22200
3912, Ukraine,19,20900
3913, Poland,19,39500
3914, Singapore,20,9300
3915,Flying Fish Cove,1920,12400
3916,Castries,1920,9000
3917,Bandar Seri Begawan,1930,5400
3918,Kathmandu,1940,11600
3919,Tehran,1950,20900
3920, Palau,19,12400
3921, Reunion,20,22200
3922, Americas,19,20900
3923, Americas,19,12400
3924, Oceania,20,22200
3925,Vientiane,1900,17200
3926, Asia,19,17200
3927, Finland,19,3100
3928,Dublin,1950,9300
3929, Samoa,19,12400
3930,Abu Dhabi,1940,11600
3931,Luxembourg,1930,24100
3932,Washington,1910,39500
3933,Yamoussoukro,1910,9000
3934,Vaduz,1900,20900
3935,Tbilisi,1940,11600
3936,Tunis,1940,12400
3937,Basseterre,1860,34400
3938, Kenya,19,17200
3939,Amsterdam,1920,20900
3940,Bujumbura,1920,24100
3941,Tirana,1890,20900
3942,Port Vila,1920,22200
3943,Reykjavik,1920,12400
3944,Bamako,1890,9300
3945,Moscow,1940,9300
3946,Belgrade,1910,25800
3947,Sarajevo,1960,9300
3948,Kiev,1900,17200
3949,Port-aux-Francais,1920,25800
3950, Americas,19,11600
3951, Americas,19,9300
3952,Belgrade,1920,9000
3953,Palikir,1930,9000
3954,Kuala Lumpur,1910,9300
3955,Kinshasa,1930,11600
3956, Georgia,20,5400
3957,Funafuti,1930,11600
3958,Bujumbura,1910,3100
3959,Kigali,1900,20900
3960, Mauritius,19,20900
3961,Yaounde,1930,3100
3962, Italy,19,9300
3963,Amman,1930,9000
3964,Juba,1910,22200
3965,The Valley,1860,9000
3966, Guyana,20,25800
3967, Americas,19,6500
3968, Ukraine,19,9300
3969,Santo Domingo,2000,9300
3970,Hong Kong,1930,9300
3971,Abu Dhabi,1920,5400
3972, Burkina Faso,20,9300
3973,Hanoi,1880,20900
3974,Willemstad,1900,43100
3975,Alofi,1940,9000
3976,Santo Domingo,1920,25800
3977,Asuncion,1910,11600
3978, Sudan,20,9300
3979,Bamako,1910,11600
3980,Sucre,1910,24100
3981,Lima,1920,24100
3982,Malabo,1900,9000
3983,Hong Kong,1930,39500
3984,Bamako,1950,11600
3985, Romania,19,9300
3986,Mogadishu,1890,42800
3987,Baghdad,1900,9300
3988,Managua,1930,5400
3989, Oceania,20,9300
3990, Micronesia,21,9300
3991,Astana,1880,9300
3992,Wellington,1880,9300
3993,Kingston,1900,6500
3994, Puerto Rico,20,24100
3995,Nuuk,1900,12400
3996,San Jose,1880,9000
3997, Comoros,20,22200
3998,Doha,1940,39500
3999,Tallinn,1950,5400
4000,Luxembourg,1930,17200
4001,Saint-Pierre,1940,24100
4002,Kuala Lumpur,1920,22200
4003, Europe,20,12400
4004,Managua,1930,11600
4005,Port Louis,1940,11600
4006,Riga,1910,17200
4007, Trinidad And Tobago,20,9300
4008,Sofia,1920,12400
4009,Lilongwe,1900,22200
4010,Saint Helier,1930,6500
4011,Grytviken,1960,5400
4012,Saipan,1900,38600
4013,Dakar,1910,6500
4014,Santo Domingo,1890,9300
4015,Accra,1900,9000
4016,Stockholm,1920,22200
4017,Jamestown,1930,11600
4018,Bangkok,1920,3100
4019,Warsaw,1930,25800
4020,Hanoi,1930,24100
4021,Panama City,1930,6500
4022,Belgrade,1890,9300
4023,Stockholm,1880,22200
4024,Castries,1900,9000
4025, Oceania,20,9300
4026,Male,1940,20900
4027,Mamoudzou,1920,20900
4028,Lome,1920,22200
4029, Azerbaijan,20,3100
4030,Lusaka,1930,12400
4031,Niamey,1900,22200
4032,Havana,1940,9000
4033,Nouakchott,1920,17200
4034, Mayotte,19,24100
4035,Mbabane,1950,11600
4036, British Indian Ocean Territory,19,12400
4037,Andorra la Vella,1900,3100
4038,Port of Spain,1890,12400
4039,Niamey,1940,17200
4040,Beijing,1920,9300
4041, Lithuania,19,12400
4042,Victoria,1930,6500
4043, Namibia,19,9000
4044,Melekeok,1900,22200
4045, Africa,18-21,20900
4046,Berlin,1930,9000
4047, Botswana,19,11600
4048,Basseterre,1950,12400
4049,Cockburn Town,1930,12400
4050,Wellington,1940,9300
4051,Kigali,1890,9300
4052,Rome,1940,9300
4053,The Valley,1920,22200
4054, Asia,19,24100
4055,Nuku'alofa,1910,24100
4056,Melekeok,1920,11600
4057,Alofi,1900,20900
4058, Europe,20,12400
4059,Belmopan,1910,20900
4060,Canberra,1930,34400
4061,Riyadh,1920,9300
4062,Manama,1880,20900
4063,Noumea,1950,9300
4064,London,1910,9300
4065, Asia,19,5400
4066,Port of Spain,1940,9300
4067,Tokyo,1930,11600
4068, Marshall Islands,19,9000
4069,Bamako,1880,20900
4070,Ouagadougou,1890,5400
4071, Southern Asia,21,5400
4072,Road Town,1940,24100
4073,Caracas,1920,24100
4074,Madrid,1930,24100
4075, Americas,19,9300
4076,Kabul,1910,3100
4077, Serbia,19,11600
4078,Moscow,1940,11600
4079,Conakry,1890,9000
4080, Americas,19,20900
4081,Lilongwe,1900,25800
4082,Grytviken,1940,17200
4083,Chisinau,1910,20900
4084, Namibia,19,11600
4085,Port-aux-Francais,1890,9300
4086,Lisbon,1920,22200
4087, Bahamas The,20,6500
4088,Porto-Novo,1940,20900
4089, Uganda,19,9300
4090,Ulan Bator,1900,11600
4091,Bissau,1930,5400
4092, Faroe Islands,19,9300
4093,Dhaka,1920,9300
4094,Addis Ababa,1900,12400
4095,Bratislava,1930,9300
4096,Vatican City,1910,25800
4097,Reykjavik,1890,12400
4098, Malta,19,9000
4099,Port of Spain,1920,6500
4100, Australia,19,9300
4101, Netherlands The,19,17200
4102,Juba,1930,6500
4103,Andorra la Vella,1900,9000
4104,Warsaw,1920,9300
4105, Asia,19,12400
4106, Southern Europe,18,9000
4107,Port Vila,1910,20900
4108,Gaborone,1930,9300
4109,Prague,1940,11600
4110,Montevideo,1930,12400
4111,Lisbon,1890,5400
4112,Roseau,1890,9300
4113,Ljubljana,1920,6500
4114, Americas,19,3100
4115, Romania,19,5400
4116,Doha,1930,6500
4117,Charlotte Amalie,1940,11600
4118, Belarus,19,34400
4119,Suva,1900,6500
4120, Oceania,20,5400
4121,Freetown,1940,11600
4122, Asia,19,17200
4123, Oceania,20,9300
4124,Islamabad,1920,11600
4125,Funafuti,1930,9000
4126,Rome,1930,34700
4127,Yerevan,1880,12400
4128,Baghdad,1920,9300
4129,Male,1890,12400
4130, Asia,19,9300
4131,Santo Domingo,1890,20900
4132, Djibouti,19,17200
4133,Yerevan,1930,17200
4134,Victoria,1920,12400
4135,Porto-Novo,1930,17200
4136,Diego Garcia,1910,20900
4137, Asia,19,38600
4138,Tashkent,1900,24100
4139,Saint-Pierre,1910,25800
4140,Dhaka,1920,6500
4141,Palikir,1920,9300
4142, Aland Islands,19,9300
4143, Qatar,20,9000
4144,Sucre,1930,9000
4145,Dakar,1930,34400
4146, Southern Europe,21,34700
4147,Brussels,1940,5400
4148,Yaounde,1930,20900
4149,Lome,1900,9300
4150,Luxembourg,1910,24100
4151, Europe,20,9000
4152, Americas,19,9000
4153,Thimphu,1860,9000
4154,San Jose,1900,34700
4155,Melekeok,1940,9300
4156,Male,1880,22200
4157,Tallinn,1920,9000
4158,Basse-Terre,1890,11600
4159,Flying Fish Cove,1930,12400
4160,Santo Domingo,2000,12400
4161, Americas,19,12400
4162,Riga,1930,9000
4163,Bern,1940,11600
4164, Europe,20,6500
4165,Plymouth,1980,25800
4166,Diego Garcia,1900,11600
4167,Rome,1920,22200
4168,Manama,1940,25800
4169,Dili,1920,5400
4170, Oceania,20,22200
4171, French Polynesia,19,17200
4172,Victoria,1930,9000
4173,Mexico City,1930,5400
4174,Canberra,1930,9300
4175, Taiwan,20,20900
4176,Rome,1950,6500
4177,Victoria,1910,5400
4178,St Peter Port,1920,9300
4179,Antananarivo,1940,3100
4180,St. John's,1940,24100
4181,Hong Kong,1900,20900
4182,Tarawa,1930,22200
4183,Sofia,1930,9300
4184, Americas,19,22200
4185,Lome,1890,9300
4186,Mbabane,1940,9300
4187,Grytviken,1920,17200
4188,Madrid,1890,17200
4189,Marigot,1890,9300
4190, Macau S.A.R.,20,6500
4191,Kralendijk,1920,20900
4192,Nicosia,1920,34700
4193,Seoul,1890,22200
4194,Athens,1920,11600
4195,Santo Domingo,1890,6500
4196,Libreville,1920,6500
4197,Belmopan,1940,20900
4198,Tarawa,1940,34700
4199,Port Vila,1910,38600
4200,Berlin,1910,24100
4201,Victoria,1890,11600
4202,San Jose,1920,43100
4203,Paramaribo,1940,9000
4204,Willemstad,1930,9000
4205,Abuja,1880,20900
4206,Nuuk,1880,17200
4207, Americas,19,9000
4208,Accra,1950,9300
4209,Vientiane,1930,3100
4210,Saint-Pierre,1940,17200
4211,Port Moresby,1940,20900
4212,Moroni,1900,5400
4213,Athens,1900,6500
4214,Bamako,1940,9300
4215,Vilnius,1940,9300
4216, Asia,19,9300
4217,Papeete,1900,34700
4218,Nuku'alofa,1920,11600
4219, Djibouti,19,12400
4220,Kralendijk,1930,43100
4221,Guatemala City,1900,9300
4222, Asia,19,6500
4223,Damascus,1930,34700
4224, Asia,19,5400
4225,Kinshasa,1940,9300
4226,St. George's,1910,20900
4227, Americas,19,6500
4228,Apia,1920,39500
4229,Antananarivo,1930,5400
